d:\xampp\mysql\bin\mysqld.exe, Version: 10.4.32-MariaDB-log (mariadb.org binary distribution). started with:
TCP Port: 3306, Named Pipe: D:/xampp/mysql/mysql.sock
Time		    Id Command	Argument
241014 17:06:22	     8 Connect	pma@localhost as anonymous on 
		     9 Connect	root@localhost as anonymous on 
		     9 Query	SELECT @@version, @@version_comment
		     9 Query	SET NAMES 'utf8mb4' COLLATE 'utf8mb4_general_ci'
		     9 Query	SET lc_messages = 'en_US'
		     8 Query	SHOW TABLES FROM `phpmyadmin`
		     8 Init DB	phpmyadmin
		     8 Query	SHOW TABLES FROM `phpmyadmin`
		     8 Query	SELECT NULL FROM `pma__table_info` LIMIT 0
		     8 Query	SELECT NULL FROM `pma__table_coords` LIMIT 0
		     8 Query	SELECT NULL FROM `pma__pdf_pages` LIMIT 0
		     8 Query	SELECT NULL FROM `pma__column_info` LIMIT 0
		     8 Query	SHOW COLUMNS FROM `phpmyadmin`.`pma__column_info` WHERE Field IN ('input_transformation', 'input_transformation_options')
		     8 Query	SELECT NULL FROM `pma__users` LIMIT 0
		     8 Query	SELECT NULL FROM `pma__usergroups` LIMIT 0
		     8 Query	SELECT NULL FROM `pma__export_templates` LIMIT 0
		     8 Query	SELECT NULL FROM `pma__designer_settings` LIMIT 0
		     8 Query	SELECT NULL FROM `pma__central_columns` LIMIT 0
		     8 Query	SELECT NULL FROM `pma__savedsearches` LIMIT 0
		     8 Query	SELECT NULL FROM `pma__navigationhiding` LIMIT 0
		     8 Query	SELECT NULL FROM `pma__bookmark` LIMIT 0
		     8 Query	SELECT NULL FROM `pma__userconfig` LIMIT 0
		     8 Query	SELECT NULL FROM `pma__tracking` LIMIT 0
		     8 Query	SELECT NULL FROM `pma__table_uiprefs` LIMIT 0
		     8 Query	SELECT NULL FROM `pma__favorite` LIMIT 0
		     8 Query	SELECT NULL FROM `pma__recent` LIMIT 0
		     8 Query	SELECT NULL FROM `pma__history` LIMIT 0
		     8 Query	SELECT NULL FROM `pma__relation` LIMIT 0
		     8 Query	SELECT `tables` FROM `phpmyadmin`.`pma__favorite` WHERE `username` = 'root'
		     8 Query	SELECT `tables` FROM `phpmyadmin`.`pma__recent` WHERE `username` = 'root'
		     8 Query	SELECT `config_data`, UNIX_TIMESTAMP(`timevalue`) ts FROM `phpmyadmin`.`pma__userconfig` WHERE `username` = 'root'
		     8 Query	SELECT `config_data`, UNIX_TIMESTAMP(`timevalue`) ts FROM `phpmyadmin`.`pma__userconfig` WHERE `username` = 'root'
		     9 Query	SET collation_connection = 'utf8mb4_unicode_ci'
		     8 Query	SHOW TABLES FROM `phpmyadmin`
		     8 Init DB	phpmyadmin
		     8 Query	SHOW TABLES FROM `phpmyadmin`
		     8 Init DB	phpmyadmin
		     8 Query	SHOW TABLES FROM `phpmyadmin`
		     8 Query	SELECT NULL FROM `pma__table_info` LIMIT 0
		     8 Query	SELECT NULL FROM `pma__table_coords` LIMIT 0
		     8 Query	SELECT NULL FROM `pma__pdf_pages` LIMIT 0
		     8 Query	SELECT NULL FROM `pma__column_info` LIMIT 0
		     8 Query	SHOW COLUMNS FROM `phpmyadmin`.`pma__column_info` WHERE Field IN ('input_transformation', 'input_transformation_options')
		     8 Query	SELECT NULL FROM `pma__users` LIMIT 0
		     8 Query	SELECT NULL FROM `pma__usergroups` LIMIT 0
		     8 Query	SELECT NULL FROM `pma__export_templates` LIMIT 0
		     8 Query	SELECT NULL FROM `pma__designer_settings` LIMIT 0
		     8 Query	SELECT NULL FROM `pma__central_columns` LIMIT 0
		     8 Query	SELECT NULL FROM `pma__savedsearches` LIMIT 0
		     8 Query	SELECT NULL FROM `pma__navigationhiding` LIMIT 0
		     8 Query	SELECT NULL FROM `pma__bookmark` LIMIT 0
		     8 Query	SELECT NULL FROM `pma__userconfig` LIMIT 0
		     8 Query	SELECT NULL FROM `pma__tracking` LIMIT 0
		     8 Query	SELECT NULL FROM `pma__table_uiprefs` LIMIT 0
		     8 Query	SELECT NULL FROM `pma__favorite` LIMIT 0
		     8 Query	SELECT NULL FROM `pma__recent` LIMIT 0
		     8 Query	SELECT NULL FROM `pma__history` LIMIT 0
		     8 Query	SELECT NULL FROM `pma__relation` LIMIT 0
		     8 Query	SELECT NULL FROM `pma__table_info` LIMIT 0
		     8 Query	SELECT NULL FROM `pma__table_coords` LIMIT 0
		     8 Query	SELECT NULL FROM `pma__pdf_pages` LIMIT 0
		     8 Query	SELECT NULL FROM `pma__column_info` LIMIT 0
		     8 Query	SHOW COLUMNS FROM `phpmyadmin`.`pma__column_info` WHERE Field IN ('input_transformation', 'input_transformation_options')
		     8 Query	SELECT NULL FROM `pma__users` LIMIT 0
		     8 Query	SELECT NULL FROM `pma__usergroups` LIMIT 0
		     8 Query	SELECT NULL FROM `pma__export_templates` LIMIT 0
		     8 Query	SELECT NULL FROM `pma__designer_settings` LIMIT 0
		     8 Query	SELECT NULL FROM `pma__central_columns` LIMIT 0
		     8 Query	SELECT NULL FROM `pma__savedsearches` LIMIT 0
		     8 Query	SELECT NULL FROM `pma__navigationhiding` LIMIT 0
		     8 Query	SELECT NULL FROM `pma__bookmark` LIMIT 0
		     8 Query	SELECT NULL FROM `pma__userconfig` LIMIT 0
		     8 Query	SELECT NULL FROM `pma__tracking` LIMIT 0
		     8 Query	SELECT NULL FROM `pma__table_uiprefs` LIMIT 0
		     8 Query	SELECT NULL FROM `pma__favorite` LIMIT 0
		     8 Query	SELECT NULL FROM `pma__recent` LIMIT 0
		     8 Query	SELECT NULL FROM `pma__history` LIMIT 0
		     8 Query	SELECT NULL FROM `pma__relation` LIMIT 0
		     8 Query	SELECT `tables` FROM `phpmyadmin`.`pma__favorite` WHERE `username` = 'root'
		     8 Query	SELECT `tables` FROM `phpmyadmin`.`pma__recent` WHERE `username` = 'root'
		     9 Init DB	ci
		     9 Query	SHOW TABLES LIKE 'api'
		     9 Query	SHOW FULL COLUMNS FROM `ci`.`api`
		     9 Query	SHOW INDEXES FROM `ci`.`api`
		     8 Query	SELECT * FROM `phpmyadmin`.`pma__bookmark` WHERE ( `user` = '' OR `user` = 'root' ) AND dbase = 'ci' ORDER BY label ASC
		     9 Query	SHOW SESSION VARIABLES LIKE 'FOREIGN_KEY_CHECKS'
		     9 Query	SHOW  COLUMNS FROM `ci`.`api`
		     9 Query	SELECT TABLE_NAME FROM information_schema.VIEWS WHERE TABLE_SCHEMA = 'ci' AND TABLE_NAME = 'api'
		     9 Query	SELECT @@lower_case_table_names
		     9 Query	SELECT *, `TABLE_SCHEMA`       AS `Db`, `TABLE_NAME`         AS `Name`, `TABLE_TYPE`         AS `TABLE_TYPE`, `ENGINE`             AS `Engine`, `ENGINE`             AS `Type`, `VERSION`            AS `Version`, `ROW_FORMAT`         AS `Row_format`, `TABLE_ROWS`         AS `Rows`, `AVG_ROW_LENGTH`     AS `Avg_row_length`, `DATA_LENGTH`        AS `Data_length`, `MAX_DATA_LENGTH`    AS `Max_data_length`, `INDEX_LENGTH`       AS `Index_length`, `DATA_FREE`          AS `Data_free`, `AUTO_INCREMENT`     AS `Auto_increment`, `CREATE_TIME`        AS `Create_time`, `UPDATE_TIME`        AS `Update_time`, `CHECK_TIME`         AS `Check_time`, `TABLE_COLLATION`    AS `Collation`, `CHECKSUM`           AS `Checksum`, `CREATE_OPTIONS`     AS `Create_options`, `TABLE_COMMENT`      AS `Comment` FROM `information_schema`.`TABLES` t WHERE `TABLE_SCHEMA`  IN ('ci') AND t.`TABLE_NAME`  = 'api' ORDER BY Name ASC
		     9 Query	SELECT 1 FROM mysql.user LIMIT 1
		     9 Query	SELECT CURRENT_USER()
		     9 Query	SELECT 1 FROM (SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`COLUMN_PRIVILEGES` UNION SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`TABLE_PRIVILEGES` UNION SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`SCHEMA_PRIVILEGES` UNION SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`USER_PRIVILEGES`) t WHERE `IS_GRANTABLE` = 'YES' AND '''root''@''localhost''' LIKE `GRANTEE` LIMIT 1
		     9 Query	SELECT `PRIVILEGE_TYPE` FROM `INFORMATION_SCHEMA`.`USER_PRIVILEGES` WHERE GRANTEE='''root''@''localhost''' AND PRIVILEGE_TYPE='TRIGGER'
		     9 Quit	
		     8 Quit	
		    10 Connect	pma@localhost as anonymous on 
		    11 Connect	root@localhost as anonymous on 
		    11 Query	SELECT @@version, @@version_comment
		    11 Query	SET NAMES 'utf8mb4' COLLATE 'utf8mb4_general_ci'
		    11 Query	SET lc_messages = 'en_US'
		    10 Query	SHOW TABLES FROM `phpmyadmin`
		    10 Init DB	phpmyadmin
		    10 Query	SHOW TABLES FROM `phpmyadmin`
		    10 Query	SELECT NULL FROM `pma__table_info` LIMIT 0
		    10 Query	SELECT NULL FROM `pma__table_coords` LIMIT 0
		    10 Query	SELECT NULL FROM `pma__pdf_pages` LIMIT 0
		    10 Query	SELECT NULL FROM `pma__column_info` LIMIT 0
		    10 Query	SHOW COLUMNS FROM `phpmyadmin`.`pma__column_info` WHERE Field IN ('input_transformation', 'input_transformation_options')
		    10 Query	SELECT NULL FROM `pma__users` LIMIT 0
		    10 Query	SELECT NULL FROM `pma__usergroups` LIMIT 0
		    10 Query	SELECT NULL FROM `pma__export_templates` LIMIT 0
		    10 Query	SELECT NULL FROM `pma__designer_settings` LIMIT 0
		    10 Query	SELECT NULL FROM `pma__central_columns` LIMIT 0
		    10 Query	SELECT NULL FROM `pma__savedsearches` LIMIT 0
		    10 Query	SELECT NULL FROM `pma__navigationhiding` LIMIT 0
		    10 Query	SELECT NULL FROM `pma__bookmark` LIMIT 0
		    10 Query	SELECT NULL FROM `pma__userconfig` LIMIT 0
		    10 Query	SELECT NULL FROM `pma__tracking` LIMIT 0
		    10 Query	SELECT NULL FROM `pma__table_uiprefs` LIMIT 0
		    10 Query	SELECT NULL FROM `pma__favorite` LIMIT 0
		    10 Query	SELECT NULL FROM `pma__recent` LIMIT 0
		    10 Query	SELECT NULL FROM `pma__history` LIMIT 0
		    10 Query	SELECT NULL FROM `pma__relation` LIMIT 0
		    10 Query	SELECT `tables` FROM `phpmyadmin`.`pma__favorite` WHERE `username` = 'root'
		    10 Query	SELECT `tables` FROM `phpmyadmin`.`pma__recent` WHERE `username` = 'root'
		    10 Query	SELECT `config_data`, UNIX_TIMESTAMP(`timevalue`) ts FROM `phpmyadmin`.`pma__userconfig` WHERE `username` = 'root'
		    11 Query	SET collation_connection = 'utf8mb4_unicode_ci'
		    10 Query	SHOW TABLES FROM `phpmyadmin`
		    10 Init DB	phpmyadmin
		    10 Query	SHOW TABLES FROM `phpmyadmin`
		    10 Init DB	phpmyadmin
		    10 Query	SHOW TABLES FROM `phpmyadmin`
		    10 Query	SELECT NULL FROM `pma__table_info` LIMIT 0
		    10 Query	SELECT NULL FROM `pma__table_coords` LIMIT 0
		    10 Query	SELECT NULL FROM `pma__pdf_pages` LIMIT 0
		    10 Query	SELECT NULL FROM `pma__column_info` LIMIT 0
		    10 Query	SHOW COLUMNS FROM `phpmyadmin`.`pma__column_info` WHERE Field IN ('input_transformation', 'input_transformation_options')
		    10 Query	SELECT NULL FROM `pma__users` LIMIT 0
		    10 Query	SELECT NULL FROM `pma__usergroups` LIMIT 0
		    10 Query	SELECT NULL FROM `pma__export_templates` LIMIT 0
		    10 Query	SELECT NULL FROM `pma__designer_settings` LIMIT 0
		    10 Query	SELECT NULL FROM `pma__central_columns` LIMIT 0
		    10 Query	SELECT NULL FROM `pma__savedsearches` LIMIT 0
		    10 Query	SELECT NULL FROM `pma__navigationhiding` LIMIT 0
		    10 Query	SELECT NULL FROM `pma__bookmark` LIMIT 0
		    10 Query	SELECT NULL FROM `pma__userconfig` LIMIT 0
		    10 Query	SELECT NULL FROM `pma__tracking` LIMIT 0
		    10 Query	SELECT NULL FROM `pma__table_uiprefs` LIMIT 0
		    10 Query	SELECT NULL FROM `pma__favorite` LIMIT 0
		    10 Query	SELECT NULL FROM `pma__recent` LIMIT 0
		    10 Query	SELECT NULL FROM `pma__history` LIMIT 0
		    10 Query	SELECT NULL FROM `pma__relation` LIMIT 0
		    10 Query	SELECT NULL FROM `pma__table_info` LIMIT 0
		    10 Query	SELECT NULL FROM `pma__table_coords` LIMIT 0
		    10 Query	SELECT NULL FROM `pma__pdf_pages` LIMIT 0
		    10 Query	SELECT NULL FROM `pma__column_info` LIMIT 0
		    10 Query	SHOW COLUMNS FROM `phpmyadmin`.`pma__column_info` WHERE Field IN ('input_transformation', 'input_transformation_options')
241014 17:06:23	    10 Query	SELECT NULL FROM `pma__users` LIMIT 0
		    10 Query	SELECT NULL FROM `pma__usergroups` LIMIT 0
		    10 Query	SELECT NULL FROM `pma__export_templates` LIMIT 0
		    10 Query	SELECT NULL FROM `pma__designer_settings` LIMIT 0
		    10 Query	SELECT NULL FROM `pma__central_columns` LIMIT 0
		    10 Query	SELECT NULL FROM `pma__savedsearches` LIMIT 0
		    10 Query	SELECT NULL FROM `pma__navigationhiding` LIMIT 0
		    10 Query	SELECT NULL FROM `pma__bookmark` LIMIT 0
		    10 Query	SELECT NULL FROM `pma__userconfig` LIMIT 0
		    10 Query	SELECT NULL FROM `pma__tracking` LIMIT 0
		    10 Query	SELECT NULL FROM `pma__table_uiprefs` LIMIT 0
		    10 Query	SELECT NULL FROM `pma__favorite` LIMIT 0
		    10 Query	SELECT NULL FROM `pma__recent` LIMIT 0
		    10 Query	SELECT NULL FROM `pma__history` LIMIT 0
		    10 Query	SELECT NULL FROM `pma__relation` LIMIT 0
		    10 Query	SELECT `tables` FROM `phpmyadmin`.`pma__favorite` WHERE `username` = 'root'
		    10 Query	SELECT `tables` FROM `phpmyadmin`.`pma__recent` WHERE `username` = 'root'
		    11 Query	SELECT CURRENT_USER()
		    11 Query	SELECT `SCHEMA_NAME` FROM `INFORMATION_SCHEMA`.`SCHEMATA`, (SELECT DB_first_level FROM ( SELECT DISTINCT SUBSTRING_INDEX(SCHEMA_NAME, '_', 1) DB_first_level FROM INFORMATION_SCHEMA.SCHEMATA WHERE TRUE ) t ORDER BY DB_first_level ASC LIMIT 0, 100) t2 WHERE TRUE AND 1 = LOCATE(CONCAT(DB_first_level, '_'), CONCAT(SCHEMA_NAME, '_')) ORDER BY SCHEMA_NAME ASC
		    10 Query	SELECT `db_name`, COUNT(*) AS `count` FROM `phpmyadmin`.`pma__navigationhiding` WHERE `username`='root' GROUP BY `db_name`
		    10 Query	SELECT `item_name` FROM `phpmyadmin`.`pma__navigationhiding` WHERE `username`='root' AND `item_type`='group' AND `db_name`='ci'
		    11 Query	SELECT COUNT(*) FROM `INFORMATION_SCHEMA`.`TABLES` WHERE `TABLE_SCHEMA`='ci' AND `TABLE_TYPE` IN('BASE TABLE', 'SYSTEM VERSIONED')
		    11 Query	SELECT COUNT(*) FROM `INFORMATION_SCHEMA`.`TABLES` WHERE `TABLE_SCHEMA`='ci' AND `TABLE_TYPE` NOT IN('BASE TABLE', 'SYSTEM VERSIONED')
		    11 Query	SELECT @@lower_case_table_names
		    11 Query	SELECT COUNT(*) FROM `INFORMATION_SCHEMA`.`ROUTINES` WHERE `ROUTINE_SCHEMA` ='ci' AND `ROUTINE_TYPE`='FUNCTION'
